id_data,id_loja,des_estabelecimento,id_produto,qtd_estoque
20191130,6,ITATIBA,28031,1
20191130,6,ITATIBA,21061,2
20191130,27,SALTO,34032,1
20191130,6,ITATIBA,21416,1
20191130,7,GLICERIO,21317,1
20191130,9,SUMARE,33796,2
20191130,6,ITATIBA,15551,7
20191130,8,CAMPINAS,16378,1
20191130,20,SOROCABA,14343,7
20191130,27,SALTO,21200,1
20191130,16,VALINHOS,10096,2
20191130,6,ITATIBA,18190,1
20191130,27,SALTO,1583,5
20191130,7,GLICERIO,20313,1
20191130,7,GLICERIO,21199,2
20191130,27,SALTO,26382,3
20191130,8,CAMPINAS,33526,1
20191130,16,VALINHOS,12958,6
20191130,8,CAMPINAS,19083,1
20191130,23,BRAGANÇA,33108,2
20191130,4,INDAIATUBA,30648,1
20191130,7,GLICERIO,15246,8
20191130,9,SUMARE,19212,2
20191130,7,GLICERIO,18197,24
20191130,7,GLICERIO,15331,4
20191130,7,GLICERIO,33790,1
20191130,27,SALTO,14342,2
20191130,20,SOROCABA,2717,4
20191130,6,ITATIBA,233,1
20191130,27,SALTO,12346,2
20191130,20,SOROCABA,17988,24
20191130,6,ITATIBA,15285,1
20191130,16,VALINHOS,19239,1
20191130,8,CAMPINAS,6670,5
20191130,27,SALTO,20214,1
20191130,16,VALINHOS,15295,4
20191130,23,BRAGANÇA,15544,3
20191130,9,SUMARE,22242,1
20191130,4,INDAIATUBA,8300,2
20191130,20,SOROCABA,16057,20
20191130,6,ITATIBA,27419,1
20191130,7,GLICERIO,11078,1
20191130,7,GLICERIO,27795,2
20191130,8,CAMPINAS,10198,2
20191130,7,GLICERIO,15025,2
20191130,7,GLICERIO,19283,2
20191130,27,SALTO,32278,1
20191130,8,CAMPINAS,16124,4
20191130,6,ITATIBA,32275,3
20191130,6,ITATIBA,28336,1
20191130,20,SOROCABA,16152,2
20191130,20,SOROCABA,28953,2
20191130,15,ATIBAIA,28053,5
20191130,4,INDAIATUBA,4603,3
20191130,7,GLICERIO,22540,1
20191130,8,CAMPINAS,3237,4
20191130,23,BRAGANÇA,25080,1
20191130,20,SOROCABA,20109,25
20191130,27,SALTO,30710,1
20191130,20,SOROCABA,16636,2
20191130,7,GLICERIO,33651,2
20191130,15,ATIBAIA,18304,1
20191130,7,GLICERIO,14854,1
20191130,9,SUMARE,34540,6
20191130,27,SALTO,21920,3
20191130,15,ATIBAIA,18088,2
20191130,4,INDAIATUBA,28941,1
20191130,7,GLICERIO,15045,6
20191130,15,ATIBAIA,29045,9
20191130,9,SUMARE,33368,6
20191130,15,ATIBAIA,5417,10
20191130,16,VALINHOS,21135,2
20191130,23,BRAGANÇA,33622,3
20191130,7,GLICERIO,2434,4
20191130,4,INDAIATUBA,28337,2
20191130,27,SALTO,24420,1
20191130,16,VALINHOS,32796,1
20191130,27,SALTO,34548,6
20191130,6,ITATIBA,20816,1
20191130,8,CAMPINAS,32286,2
20191130,16,VALINHOS,11778,1
20191130,6,ITATIBA,13148,2
20191130,9,SUMARE,29983,1
20191130,23,BRAGANÇA,19326,1
20191130,27,SALTO,4596,1
20191130,27,SALTO,20895,3
20191130,23,BRAGANÇA,22238,2
20191130,23,BRAGANÇA,20764,3
20191130,16,VALINHOS,26793,2
20191130,4,INDAIATUBA,33988,1
20191130,16,VALINHOS,32861,7
20191130,20,SOROCABA,18199,3
20191130,9,SUMARE,31075,2
20191130,27,SALTO,33643,1
20191130,20,SOROCABA,36,1
20191130,8,CAMPINAS,33332,1
20191130,7,GLICERIO,34324,2
20191130,4,INDAIATUBA,19049,1
20191130,15,ATIBAIA,33029,1
20191130,20,SOROCABA,32308,1
20191130,7,GLICERIO,26851,3
20191130,16,VALINHOS,26778,1
20191130,20,SOROCABA,30281,7
20191130,8,CAMPINAS,32973,1
20191130,4,INDAIATUBA,32193,1
20191130,8,CAMPINAS,33970,3
20191130,4,INDAIATUBA,19920,1
20191130,7,GLICERIO,7362,1
20191130,15,ATIBAIA,423,4
20191130,6,ITATIBA,14921,6
20191130,7,GLICERIO,4269,7
20191130,23,BRAGANÇA,21003,1
20191130,20,SOROCABA,20728,1
20191130,23,BRAGANÇA,33544,1
20191130,15,ATIBAIA,4269,2
20191130,15,ATIBAIA,4609,4
20191130,15,ATIBAIA,19330,4
20191130,23,BRAGANÇA,20174,2
20191130,8,CAMPINAS,3526,2
20191130,23,BRAGANÇA,18024,1
20191130,15,ATIBAIA,20474,1
20191130,6,ITATIBA,16802,1
20191130,7,GLICERIO,4600,2
20191130,8,CAMPINAS,20904,2
20191130,27,SALTO,18267,3
20191130,23,BRAGANÇA,14649,3
20191130,7,GLICERIO,13952,2
20191130,23,BRAGANÇA,31531,1
20191130,6,ITATIBA,1069,1
20191130,23,BRAGANÇA,16160,1
20191130,20,SOROCABA,17028,6
20191130,8,CAMPINAS,28329,1
20191130,6,ITATIBA,32817,3
20191130,15,ATIBAIA,13148,7
20191130,7,GLICERIO,27912,1
20191130,16,VALINHOS,17136,1
20191130,16,VALINHOS,7368,1
20191130,7,GLICERIO,16176,4
20191130,9,SUMARE,33553,1
20191130,27,SALTO,26055,1
20191130,20,SOROCABA,11519,3
20191130,8,CAMPINAS,15299,5
20191130,8,CAMPINAS,30901,2
20191130,7,GLICERIO,1583,4
20191130,6,ITATIBA,32184,1
20191130,4,INDAIATUBA,26397,1
20191130,23,BRAGANÇA,21061,3
20191130,20,SOROCABA,34353,1
20191130,8,CAMPINAS,8847,5
20191130,4,INDAIATUBA,4217,3
20191130,16,VALINHOS,11052,1
20191130,7,GLICERIO,32853,4
20191130,6,ITATIBA,31206,2
20191130,15,ATIBAIA,18312,2
20191130,27,SALTO,14106,5
20191130,6,ITATIBA,4605,3
20191130,4,INDAIATUBA,31920,6
20191130,8,CAMPINAS,3563,6
20191130,9,SUMARE,26762,4
20191130,15,ATIBAIA,33610,1
20191130,16,VALINHOS,15191,1
20191130,20,SOROCABA,20969,1
20191130,8,CAMPINAS,20592,1
20191130,4,INDAIATUBA,22114,1
20191130,27,SALTO,32826,1
20191130,27,SALTO,14676,2
20191130,7,GLICERIO,20746,2
20191130,20,SOROCABA,21376,1
20191130,20,SOROCABA,17981,3
20191130,8,CAMPINAS,2085,2
20191130,27,SALTO,16617,3
20191130,16,VALINHOS,34387,1
20191130,15,ATIBAIA,13972,2
20191130,23,BRAGANÇA,21191,2
20191130,9,SUMARE,18042,1
20191130,7,GLICERIO,6908,2
20191130,23,BRAGANÇA,16598,1
20191130,16,VALINHOS,34554,3
20191130,20,SOROCABA,20775,1
20191130,23,BRAGANÇA,34061,2
20191130,23,BRAGANÇA,28057,4
20191130,8,CAMPINAS,33654,1
20191130,4,INDAIATUBA,31157,4
20191130,23,BRAGANÇA,34084,1
20191130,6,ITATIBA,5107,3
20191130,9,SUMARE,16142,3
20191130,8,CAMPINAS,14824,1
20191130,23,BRAGANÇA,32196,66
20191130,23,BRAGANÇA,33611,3
20191130,15,ATIBAIA,13139,23
20191130,20,SOROCABA,1585,5
20191130,23,BRAGANÇA,3106,1
20191130,23,BRAGANÇA,20149,1
20191130,7,GLICERIO,18112,1
20191130,4,INDAIATUBA,31853,3
20191130,27,SALTO,15545,5
20191130,4,INDAIATUBA,14611,15
20191130,6,ITATIBA,8880,2
20191130,15,ATIBAIA,35153,1
20191130,7,GLICERIO,32856,3
20191130,4,INDAIATUBA,16093,3
20191130,15,ATIBAIA,10392,2
20191130,7,GLICERIO,18275,2
20191130,20,SOROCABA,30655,1
20191130,9,SUMARE,26359,1
20191130,15,ATIBAIA,33759,2
20191130,20,SOROCABA,32190,2
20191130,16,VALINHOS,29028,13
20191130,8,CAMPINAS,32866,2
20191130,4,INDAIATUBA,18688,1
20191130,9,SUMARE,11575,1
20191130,15,ATIBAIA,34294,4
20191130,8,CAMPINAS,26793,3
20191130,16,VALINHOS,2714,1
20191130,15,ATIBAIA,31894,2
20191130,23,BRAGANÇA,33221,1
20191130,16,VALINHOS,19127,1
20191130,15,ATIBAIA,10177,1
20191130,8,CAMPINAS,16342,2
20191130,15,ATIBAIA,10190,2
20191130,20,SOROCABA,18089,2
20191130,6,ITATIBA,34011,1
20191130,20,SOROCABA,2710,1
20191130,16,VALINHOS,19285,7
20191130,15,ATIBAIA,33791,1
20191130,9,SUMARE,904,4
20191130,8,CAMPINAS,30683,2
20191130,15,ATIBAIA,32992,1
20191130,4,INDAIATUBA,19327,3
20191130,16,VALINHOS,3564,5
